"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
-0.0852362228234317,-0.146712863599544,0.0322658997587739,0.00865511526952928,5.96925444766305e-05,-0.134681329221455,-0.0372701122221124,-0.0163421907340189,-0.0100240249363129,-0.0753339716363468,0.00773399808712695,-0.0888830998680816,0.0280371850746734,-0.0173664190377821,-0.0543806336971106,-0.0384914589641716,0.011415238007722,0.0411069216932055,-0.00520118446691178,0.0458544462835842,0.051065183116119,0.030524781224501,0.053538153464807,0.0551095655536793
-0.104599703438827,-0.158372609835396,0.0220300469781862,-0.00133349645021474,-0.00792413590204075,-0.133368085413215,-0.0402313361431599,-0.034700814794871,-0.0205083711350488,-0.0748382505909524,0.00567753027122202,-0.0774943080327564,0.0204599356237847,-0.0140976523720737,-0.035763945751443,-0.025427259216609,-0.0218448436125204,0.0428994441844853,0.000766241457832245,0.00931877132553335,0.0253544877019802,0.0059380479904632,0.0482243252104589,0.0443209565028607
-0.102163184054222,-0.154707356071247,0.00219419419759856,0.00640289183004127,-0.0149579643485581,-0.139404841604975,-0.0407675600642074,-0.0452344388557231,-0.0367677173337846,-0.0722675295455581,0.000871062455317123,-0.0804805161974312,0.00990768617289597,-0.00745388570636535,-0.0358222578057753,-0.0341380594690463,-0.0457049252327628,0.035591966675765,0.00318366738257628,-0.0119919036325175,-0.0142312077121586,-0.0320736852435746,0.0506354969561107,0.0350073474520421
-0.0493516646696165,-0.123092102307098,-0.00691665858298916,0.00796428011029722,-0.0060917927950755,-0.121491597796736,-0.0332537839852549,-0.0390680629165752,-0.0384020635325205,-0.0607968085001638,-0.00803540536058779,-0.086916724362106,0.00103043672200731,-0.012735119040657,-0.0493305698601077,-0.0416488597214837,-0.0364150068530052,0.0235844891670448,-0.00724890669267972,-0.0238275785905684,-0.0183419031262974,-0.0434854184776124,0.0391716687017626,0.0250937384012234
-0.0975901452850115,-0.165776848542949,0.00402248863642315,0.0014756683905532,-0.00605062124159288,-0.119853353988496,-0.0244400079063024,-0.0340266869774273,-0.0522614097312564,-0.0515510874547695,-0.0171168731764927,-0.0944529325267807,-0.00929681272888139,-0.0290413523749486,-0.0454638819144401,-0.0543596599739211,-0.0347750884732476,0.00740201165832458,-0.0243814807679357,-0.0380132535486192,-0.0113525985404362,-0.0559471517116502,0.0376828404474145,0.00718012935040487
-0.104803625900406,-0.105636594778801,-0.00613836414416451,-0.0459129433291908,-0.00345944968811026,-0.0911901101802566,-0.0202512318273499,-0.0471353110382794,-0.0692707559299922,-0.0350803664093752,-0.0216983409923976,-0.0958891406914555,-0.0143990621797701,-0.0256975857092402,-0.0595221939687725,-0.0617204602263585,-0.03211017009349,0.00126953414960436,-0.0328390548431916,-0.0537489285066702,-0.044113293954575,-0.0831838849456881,0.0265690121930664,-0.000783479700413758
-0.0664421065158014,-0.0156463410146519,-0.00942421692475222,-0.0752015550489348,-0.00281827813462764,-0.036926866372017,-0.0131374557483974,-0.0358189350991316,-0.0707301021287281,-0.0404596453639809,-0.0166798088083025,-0.0716253488561303,-0.0257513116306588,-0.0295038190435319,-0.0589305060231048,-0.0563062604787959,-0.0167202517137323,-0.0117629433591159,-0.0534716289184476,-0.048709603464721,-0.0609489893687138,-0.107820618179726,-0.00624481606128172,-0.00294708875123234
-0.107630587131196,-0.0699060872505031,-0.0235600697053399,-0.0829651667686789,-2.10658114500883e-06,-0.0404386225637773,-0.0188486796694449,-0.0523025591599837,-0.0866644483274639,-0.0566639243185865,-0.0497112766242074,-0.0485115570208051,-0.0393285610815475,-0.0577350523778235,-0.0618888180774372,-0.0604170607312332,-0.0338553333339747,-0.0202954208678361,-0.0515542029937036,-0.0713952784227719,-0.0575346847828526,-0.0934823514137637,-0.0230836443156299,-0.00621069780205097
-0.0924190677465913,-0.0294658334863543,-0.0199959224859276,-0.110028778488423,0.0066640649723376,0.00944962124446228,-0.00845990359049235,-0.0606111832208358,-0.1243237945262,-0.0289432032731922,-0.0598677444401123,-0.0091227651854799,-0.0379308105324361,-0.0313412857121151,-0.0287221301317696,-0.0116278609836706,-0.00221541495421709,-0.0119528983765563,-0.0472867770689596,-0.0541309533808228,-0.0512703801969914,-0.0753690846478015,-0.038322472569978,-0.00379930685286957
-0.0539825483619863,0.0385744202777944,-0.0422067752665153,-0.101942390208167,0.00953023652582023,0.0391128650527019,-0.0112461275115398,-0.0538948072816879,-0.121433140724936,-0.00874748222779792,-0.0553242122560172,0.00351602664984532,-0.0314830599833248,0.00327748095359327,0.00324455781389808,0.012736338763892,0.0132745034255405,-0.0203603758852766,-0.0654193511442155,-0.0235916283388736,-0.0726560756111303,-0.0946808178818393,-0.0435863008243261,-0.000187915903688177
-0.0179460289773812,-0.00228532595805686,-0.050342628047103,-0.118931001927911,0.0144964080793029,0.0396511088609415,-0.0168823514325873,-0.06430343134254,-0.0750674869236716,0.00324823881759641,-0.0289806800719221,0.0124548184851705,-0.0142603094342135,0.0240462476193017,0.0179862457595657,0.0290755385114546,0.0362894218052981,-0.0138928533939968,-0.0536519252194715,0.0166226967030755,0.00205822897473096,-0.0153425511158771,-0.0233251290786742,0.0011484750454932
0.0298654904072238,-0.0272200721939081,-0.0421034808276907,-0.111069613647655,0.0146625796327855,0.0328393526691812,-0.0208185753536348,-0.0620370554033921,-0.0758018331224074,0.00469395986299073,-0.0139121478878271,0.0613686103204958,-0.0143875588851022,0.02396501428501,0.0289779337052334,0.0656397382590172,0.0557543401850557,-0.00850033090271704,-0.0344594992947275,0.0414620217450247,0.0250475335605922,0.0172707156500851,-0.0164389573330223,0.0068098659946746
0.0595270097918289,0.00309518157024068,-0.0406643336082784,-0.133333225367399,-0.0150712488137319,0.0356775964774207,-0.0330547992746823,-0.0610706794642442,-0.0767361793211433,-0.00508531909161498,-0.024218615703732,0.0454574021558209,-0.0135148083359909,0.0191837809507184,0.029294621650901,0.0490539380065799,0.0442192585648133,0.00421719158856275,-0.0159670733699835,0.0640763467869738,0.0297618381464534,0.0219839824160473,-0.0209027855873705,0.009546256943856
0.0243135291764339,0.00421043533438945,-0.023325186388866,-0.048796837087143,-0.0233300772602493,-0.0130341597143396,-0.0569660231957298,-0.0648293035250963,-0.0943705255198791,-0.0350145980462206,-0.0424750835196369,0.0615711939911462,-0.0114420577868796,0.0174025476164268,0.0343863095965686,0.0737681377541425,0.100209176944571,0.00830971407984249,-0.0234746474452394,0.0948156718289229,0.0624261427323146,0.0347222491820095,0.00228338615828139,0.0120826478930374
0.076825048561039,0.0484506890985382,0.0138639608305463,-0.00566044880688708,0.0136110942932334,0.0388540840939,-0.0211272471167773,-0.0634879275859484,-0.073279871718615,-0.0493938770008263,-0.0161565513355418,0.113259985826471,-0.00251930723776825,0.0271963142821352,0.0390029975422363,0.118757337501705,0.127599095324329,0.0302272365711223,0.0218427784795046,0.0904049968708721,0.0634154473181757,0.0388105159479716,0.0293945579039333,0.0132440388422188
0.285086567945644,0.228090942862687,0.0837031080499585,0.0322759394733689,0.044152265846716,0.15941732790214,0.0351615289621752,-0.0295715516468006,-0.0574892179173509,-0.013098155955432,0.000536980848553303,0.133848777661797,-0.020621556688657,0.0133900809478435,0.0478696854879039,0.122721537249268,0.127064013704086,0.0477697590624021,0.0415102044042486,0.0756443219128212,0.032079751904037,0.0653987827139339,0.0284807296495851,0.0308554297914002
0.335598087330249,0.211956196626836,0.0821422552693709,0.176362327753625,0.141318437400199,0.108230571710379,0.111100305041128,0.00399482429234733,-0.0451485641160867,-0.0095024349100377,-0.0213194869673516,0.116112569497122,-0.0306738061395457,0.00703384761355191,0.0852363734335715,0.12646073699683,0.111728932083844,0.0973622815536818,0.0507526303289927,0.0594336469547703,0.0345690564898982,0.083312049479896,0.050916901395237,0.0618668207405816
0.406034606714854,0.259196450390984,0.0642814024887832,0.0520737160338809,0.223534608953681,0.143768815518619,0.26081408112008,0.0254612002314952,-0.0196829103148226,0.0345682861353566,0.136774045216744,0.100576361332447,0.0189239444095657,0.0870776142792603,0.0882530613792392,0.096299936744393,0.0516938504636014,0.113129804044962,0.0367950562537367,0.0526479719967194,0.0292083610757594,0.0311503162458582,0.0750780731408889,0.060278211689763
0.350246126099459,0.380836704155133,0.212895549708196,0.125635104314137,0.331725780507164,0.253157059326858,0.282252857199033,0.119177576170643,0.0651827434864415,0.0438890071807509,0.223267577400839,0.124840153167772,0.070471694958677,0.0751463809449687,0.0131197493249068,0.0821391364919556,0.034633768843359,0.117497326536241,0.0782624821784807,0.0636372970386686,0.0691226656616206,0.0850135830118205,0.112789244886541,0.0597646026389443
0.265282645484064,0.442726957919282,0.293884696927608,0.182571492594393,0.263516952060646,0.321495303135098,0.262266633277985,0.218918952109791,0.0519983972877057,0.0985347282261452,0.122261109584934,0.220728945003097,0.0556444455077883,0.013590147610677,0.0294114372705745,0.112653336239518,0.0743736872231167,0.0387898490275211,0.0194549081032247,0.0988516220806177,0.0932119702474818,0.158726849777783,0.111575416632193,0.0687509935881258
0.278719164868669,0.317667211683431,0.23559884414702,0.160532880874649,0.129533123614129,0.364333546943338,0.245955409356938,0.139110328048939,0.0628640510889698,0.11753044927154,0.0616546417690288,0.210292736838423,0.0448171960568996,0.0634089142763854,0.151628125216242,0.165517535987081,0.127713605602874,0.00925737151880091,0.0426223340279688,0.126165947122567,0.142201274833343,0.238340116543745,0.119611588377845,0.122912384537307
0.206480693762669,0.144432451291454,0.187487983197574,0.190019267171063,0.144499292645852,0.425171764647713,0.328544165175446,0.110226683599501,0.0769047066381888,0.141501147698209,0.159448160709109,0.258806507780107,0.0817899902622483,0.0984276709811112,0.175119798475983,0.175056706341045,0.169553497079951,0.0859749437812254,0.0624398146295098,0.150830256268719,0.134790564975788,0.195853356680165,0.0818727800038752,0.0701487937500155
0.330142222656668,0.187097690899477,0.245727122248129,0.213930653467477,0.195415461677575,0.265859982352088,0.356982920993955,0.149868039150062,0.202070362187408,0.216746846124878,0.214766679649189,0.279345278721791,0.120037784467597,0.102096427685837,0.125786471735724,0.19357087669501,0.224193388557028,0.0909175160436499,0.0952572952310509,0.197644565414871,0.128479855118232,0.117116596816585,0.085083971629906,0.0411852029627239
0.314428751550667,0.1960379305075,0.251091261298683,0.34184203976389,0.178181630709298,0.205923200056463,0.283971676812463,0.199609394700624,0.234336017736627,0.233292544551547,0.308535198589269,0.212384049663475,0.175460578672946,0.116740184390563,0.0750281449954649,0.219685047048974,0.274758280034104,0.119285088306074,0.162224775832592,0.279358874561023,0.236444145260677,0.224529836953004,0.148370163255937,0.0558966121754322
0.25610011376589,0.173570050281651,0.211873765159449,0.285504288721164,0.14448483173478,0.176231930105074,0.172705098098945,0.111134254306997,0.161115439049146,0.10298206884669,0.345591495016137,0.148224011343357,0.145598830026457,0.0688483007238865,0.0770005221122484,0.149806152166513,0.163603212462323,0.121557657931588,0.134962962368348,0.1825784757427,0.176665544909584,0.220873577935064,0.126473034614127,0.0445072222229926
0.214489222854178,0.147996413419148,0.195532805933621,0.286328278651929,0.144444678737389,0.167890375637804,0.242763779326949,0.110695088820814,0.157842040716331,0.115380463780509,0.256321064245357,0.139182569458444,0.141097173049652,0.112476701599552,0.103827165378242,0.122931066248915,0.132828714606284,0.176951158006838,0.147389594151311,0.167370223674992,0.187023753782342,0.262497919949827,0.101794397548256,0.0452954796832727
0.162444998609132,0.113622776556645,0.239291846707793,0.304818935249361,0.186571192406666,0.103382154503868,0.311722460554952,0.122955923334631,0.098735309050182,0.0578455253809942,0.270917300141244,0.0778077942401987,0.129962182739514,0.139238435808551,0.0943204753109014,0.0704893136646504,0.0778208834169111,0.163111324748755,0.15268289260094,0.10802863827395,0.118681962655101,0.18552226196459,0.125915760482385,0.0546170704768862
